link_id;link;article_title;article_author;post_date;article_excerpt;categories;site_manual;link_type;img_type;img_url;author_image;author_url;create_date;format;type;level;style;theme;topic;area;technology;other;misc;concatenate;tag_count
L00582;https://www.r-bloggers.com/end-to-end-visualization-using-ggplot2/;End-to-end visualization using ggplot2;Vidisha Vachharajani;2017-08-14;his article is an end-to-end data visualization exercise, using only ggplot2().;"post;package;data-viz;tutorial;technique;rstats;ggplot2";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package;tutorial;;;data-viz;technique;;rstats#ggplot2;;technology;"post;package;tutorial;data-viz;technique;technology;rstats;ggplot2";5
L00585;https://ropensci.org/blog/blog/2017/07/11/skimr;skimr for useful and tidy summary statistics; Eduardo Arino de la Rubia et al.;2017-07-11;In a nutshell, skimr will create a skim_df object that can be further operated upon or that provides a human-readable printout in the console. It presents reasonable default summary statistics for numerics, factors, etc, and lists counts, and missing and unique values.;"post;package;tool;data-analysis;rstats;overview";https://ropensci.org;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post#package;;overview;;data-analysis;tool;;rstats;;technology;"post;package;overview;data-analysis;tool;technology;rstats";5
L00587;https://www.r-bloggers.com/layered-data-visualizations-using-r-plotly-and-displayr/;Layered Data Visualizations Using R, Plotly, and Displayr;Tim Bock;2017.08-30;R is painful when you need to create visualizations by layering multiple visual elements on top of each other.;"post;package;data-viz;rstats";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package;;;;data-viz;;;rstats;;technology;"post;package;data-viz;technology;rstats";3
L00589;http://www.creativebloq.com/how-to/build-faster-websites;How to build faster websites;Oliver Lindberg;2017-08-17;Top tips for improving web performance – and why JavaScript is the enemy of speedy sites.;"post;tip;development;javascript";http://www.creativebloq.com;website;jpg;https://cdn.mos.cms.futurecdn.net/jyUzEy3RRQcmxEU8XkR6G3-320-80.jpg;NA;NA;No;post;tip;;;;;development;javascript;;technology;"post;tip;technology;development;javascript";4
L00592;https://becominghuman.ai/cheat-sheets-for-ai-neural-networks-machine-learning-deep-learning-big-data-678c51b4b463;Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Big Data;Stefan Kojouharov;2017-07-08;Over the past few months, I have been collecting AI cheat sheets.;"post;list;cheatsheet;ai;ml;dl";https://becominghuman.ai;website;jpg;https://miro.medium.com/fit/c/40/40/0*CR3XqopCPaOZ2cwv.jpg;NA;NA;No;post;list#cheatsheet;;;;;ai#ml#dl;;;;"post;list;cheatsheet;ai;ml;dl";3
L00593;https://www.kdnuggets.com/2017/09/data-science-key-terms-explained.html;277 Data Science Key Terms, Explained;Matthew Mayo;2017-09-01;This is a collection of 277 data science key terms, explained with a no-nonsense, concise approach. Read on to find terminology related to Big Data, machine learning, natural language processing, descriptive statistics, and much more.;"post;list;definition;data-science";https://www.kdnuggets.com;website;rep;https://www.kdnuggets.com/2017/09/data-science-key-terms-explained.html/wp-content/uploads/statistics-header.jpg;NA;NA;No;post;list;definition;;data-science;;;;;;"post;list;definition;data-science";4
L00596;https://exceloffthegrid.com/excels-hidden-camera-tool/;Excel’s hidden camera tool;Mark;2017-12;This simple tool will take a picture of a range of cells and place the picture of those cells on another part of the workbook.  You can move, re-size and add picture formatting options the picture.;"post;feature;excel;basics;how-to";https://exceloffthegrid.com;website;jpg;https://exceloffthegrid.com/wp-content/uploads/2016/10/excel-off-the-grid-logo.jpg;NA;NA;No;post;how-to;basics;;;feature;;excel;;technology;"post;how-to;basics;feature;technology;excel";5
L00600;https://www.amazon.com/gp/product/0596809158%3Fcamp%3D213733%26creative%3D393185%26creativeASIN%3D0596809158%26ie%3DUTF8%26linkCode%3Dshr%26linkId%3D7BT67UPZRMKJGD63%26pd_rd_i%3D0596809158%26pd_rd_r%3DY44SAQCTNBXT94HXBK79%26pd_rd_w%3DVO44x%26pd_rd_wg%3DCy7TW%26psc%3D1%26refRID%3DY44SAQCTNBXT94HXBK79%26tag%3Damz0e61-20;R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics (O'reilly Cookbooks)    1st Edition;Paul Teetor;2011;With more than 200 practical recipes, this book helps you perform data analysis with R quickly and efficiently.;"book;rstats;how-to;data-analysis;statistics;data-viz";https://www.amazon.com;website;jpg;https://m.media-amazon.com/images/I/61sc8wdbphL._BG0,0,0,0_FMpng_AC_SY160_SX160_.jpg;NA;NA;No;book;how-to;;;data-analysis#data-viz;;statistics;rstats;;technology;"book;how-to;data-analysis;data-viz;technology;statistics;rstats";5
L00601;https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/;Learning Python for Data Analysis and Visualization;Jose Portilla;2019-09;Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!;"course;python;data-analysis;data-viz;basics";https://www.udemy.com;website;jpg;https://img-b.udemycdn.com/course/240x135/396876_cc92_7.jpg;NA;NA;No;course;;basics;;data-analysis#data-viz;;;python;;technology;"course;basics;data-analysis;data-viz;technology;python";4
L00606;https://www.datasciencecentral.com/importance-of-hypothesis-testing-in-quality-management/;Importance of Hypothesis Testing in Quality Management;Vinay Babu;2017-01-17;Essentially good hypotheses lead decision-makers like you to new and better ways to achieve your business goals.;"post;statistics;general;inference;basics";"https;//www.datasciencecentral.com";website;rep;;NA;NA;No;post;general;basics;;;;statistics#inference;;;;"post;general;basics;statistics;inference";4
L00609;http://www.kdnuggets.com/2017/06/deep-learning-demystifying-tensors.html;Deep Learning 101: Demystifying Tensors;Ted Dunning;2017-12;Many deep-learning systems available today are based on tensor algebra, but tensor algebra isn’t tied to deep-learning. It isn’t hard to get started with tensor abuse but can be hard to stop.;"post;ml;basics;explainer";http://www.kdnuggets.com;website;rep;http://www.kdnuggets.com/2017/06/deep-learning-demystifying-tensors.html/images/mapr-fig2-daily-energy-use.jpg;NA;NA;No;post;;basics#explainer;;;;ml;;;;"post;basics;explainer;ml";3
L00612;http://blog.visme.co/examples-data-visualizations/;15 Stunning Data Visualizations (And What You Can Learn From Them);Nayomi Chibana;2015-10-16;We’ve compiled 15 data visualizations that will not only blow your mind, they will also give you a clearer understanding of what makes a good visualization--and what makes a bad one.;"post;list;data-viz;inspiration";http://blog.visme.co;website;jpg;https://visme.co/blog/wp-content/themes/blog/img/banner-lg.jpg;NA;NA;No;post;list;;;data-viz#inspiration;;;;;;"post;list;data-viz;inspiration";3
L00614;http://www.verysmallarray.com/;Some work, 2022;Dorothy;2022-12-29;Visualizations - A world at arms, How we're failing schools etc.;"post;list;data-viz;example";http://www.verysmallarray.com;website;jpg;http://www.verysmallarray.com/wp-content/uploads/elec-crises383-1024x683.jpg;NA;NA;No;post;list;example;;data-viz;;;;;;"post;list;example;data-viz";4
L00616;https://www.displayr.com/create-and-update-powerpoint-reports-using-r/;Create and Update PowerPoint Reports using R;Tim Bock;2018-10;One thing about data science that they don't teach you at school is that senior managers in most large companies require reports to be in PowerPoint.;"post;method;how-to;presentation;powerpoint";https://www.displayr.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post#presentation;how-to;;;;method;;powerpoint;;technology;"post;presentation;how-to;method;technology;powerpoint";4
L00620;https://www.displayr.com/using-t-sne-to-visualize-data-before-prediction/;How t-SNE works and Dimensionality Reduction;Jake Hoare;2018-10-01;t-SNE is a machine learning technique for dimensionality reduction that helps you to identify relevant patterns.  The main advantage of t-SNE is the ability to preserve local structure.;"post;explainer;t-sne;overview";https://www.displayr.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;;explainer#overview;;;;;t-sne;;technology;"post;explainer;overview;technology;t-sne";3
L00621;https://powerbi.microsoft.com/en-us/blog/what-story-does-your-timeline-tell-introducing-the-timeline-storyteller-custom-visual-for-microsoft-power-bi/;What story does your timeline tell?;Matthew Brehmer;2017-09-05;Timeline Storyteller, a new custom visual for Power BI I created with a team of other researchers at Microsoft, is now available in the Office Store for anyone to use.;"post;tool;data-viz;review";https://powerbi.microsoft.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;review;;;data-viz;tool;;;;;"post;review;data-viz;tool";4
L00625;https://www.r-bloggers.com/sensographics-and-mapping-consumer-perceptions-using-pca-and-factominer/;Sensographics and Mapping Consumer Perceptions Using PCA and FactoMineR;Method Matters;2017-09-10;In this post, I’ll describe some analyses I’ve been doing of these data, in order to better understand how consumers perceive the beverage category. ;"post;technique;tutorial;rstats;pca";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;tutorial;;;;technique;;rstats#pca;;technology;"post;tutorial;technique;technology;rstats;pca";4
L00630;https://research.googleblog.com/2017/07/facets-open-source-visualization-tool.html;Facets: An Open Source Visualization Tool for Machine Learning Training Data;James Wexler;2017-07-17;Working with the PAIR initiative, we’ve released Facets, an open source visualization tool to aid in understanding and analyzing ML datasets. Facets consists of two visualizations that allow users to see a holistic picture of their data at different granularities.;"post;data-viz;tool;ml;overview";https://research.googleblog.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;;overview;;data-viz;tool;ml;;;;"post;overview;data-viz;tool;ml";5
L00632;https://nsaunders.wordpress.com/2017/09/08/infographic-style-charts-using-the-r-waffle-package/;Infographic-style charts using the R waffle package;Neil Saunders;2017-09-07;That said, there’s a “genre” of infographic that I do think is useful, which I’ll call “if X were 100 Y”. A good example: if the world were 100 people. That method of showing proportions has been called a waffle chart and for extra “infographic-i-ness”, the squares can be replaced by icons. You want to do this using R? Of course you do. Here’s how.;"post;rstats;basics;how-to;data-viz";https://nsaunders.wordpress.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;how-to;basics;;data-viz;;;rstats;;technology;"post;how-to;basics;data-viz;technology;rstats";5
L00633;https://rpkgs.datanovia.com/ggpubr/index.html;ggpubr: ‘ggplot2’ Based Publication Ready Plots;A. Kassambara;Undated;The ‘ggpubr’ package provides some easy-to-use functions for creating and customizing ‘ggplot2’- based publication ready plots.;"package;rstats;chart;data-viz;how-to";http://www.sthda.com;website;rep;http://www.sthda.com/english/upload/practical-guide-to-cluster-analysis-in-r.jpg;NA;NA;No;package;how-to;;;data-viz;;chart;rstats;;technology;"package;how-to;data-viz;technology;chart;rstats";5
L00635;https://www.thoughtco.com/use-grid-system-in-graphic-design-1697574;Using the Grid System in Graphic Design;Eric Miller;2020-04-10;The grid system used in the graphic design process is a way of organizing content on a page. It uses any combination of margins, guides, rows, and columns to form a uniform arrangement.;"post;design;data-viz;recommendation";https://www.thoughtco.com;website;rep;https://www.lifewire.com/thmb/FseR8ysTkfkW9aZ227x41-DqTws=/264x176/filters:no_upscale():max_bytes(150000):strip_icc()/ScreenShot2019-01-11at12.11.46PM-5c39073246e0fb0001354376.jpg;NA;NA;No;post;recommendation;;;data-viz;design;;;;;"post;recommendation;data-viz;design";4
L00636;https://memosisland.blogspot.com/2017/08/understanding-overfitting-inaccurate.html;Understanding overfitting: an inaccurate meme in supervised learning;Mehmet Süzen;2017-08-16;In this post, we will give an intuition on why model validation as approximating generalization error of a model fit and detection of overfitting can not be resolved simultaneously on a single model. We will work on  a concrete example workflow in understanding overfitting, overtraining and a typical final model building stage  after some conceptual introduction.;"post;concept;ml;explainer;example";https://memosisland.blogspot.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;;explainer#example;;;concept;ml;;;;"post;explainer;example;concept;ml";4
L00639;https://blog.revolutionanalytics.com/2017/09/data-visualization-for-social-science.html;Online textbook on data visualization with the ggplot2 package;David Smith;2017-09-11;A new online textbook, Data Visualization for Social Science, will teach you everything you need to know about creating beautiful and elegant data visualizations using the ggplot2 package and the R language. The author Kieran Healy is a professor of Sociology at Duke University who has designed data visualizations featured in outlets like The Washington Post, Vox, The Rachel Maddow Show, Slate, and the Boston Globe;"post;review;book;data-viz;ggplot2;rstats";https://blog.revolutionanalytics.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#book;review;;;data-viz;;;ggplot2#rstats;;technology;"post;book;review;data-viz;technology;ggplot2;rstats";4
L00640;https://www.r-bloggers.com/hr-analytics-using-machine-learning-to-predict-employee-turnover/;HR Analytics: Using Machine Learning to Predict Employee Turnover;business-science.io;2017-09-17;With advancements in machine learning (ML), we can now get both better predictive performance and better explanations of what critical features are linked to employee attrition. In this post, we’ll use two cutting edge techniques.;"post;technique;ml;predictive-modeling;rstats;";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;;;;;technique;ml#predictive-modeling;rstats;;technology;"post;technique;technology;ml;predictive-modeling;rstats";4
L00642;http://motioninsocial.com/tufte/;Tufte in R;Lukasz Piwek;2015-07-28;The idea behind Tufte in R is to use R - the most powerful open-source statistical programming language - to replicate excellent visualisation practices developed by Edward Tufte.;"post;data-viz;rstats;example;how-to";http://motioninsocial.com;website;rep;;NA;NA;No;post;how-to;example;;data-viz;;;rstats;;technology;"post;how-to;example;data-viz;technology;rstats";5
L00644;http://www.fast.ai/2017/09/19/accurate-info/;Credible sources of accurate information about AI;Rachel Thomas;2017-08-19;I want to recommend several credible sources of accurate information. Most of the writing on this list is intended to be accessible to anyone—even if you aren’t a programmer or don’t work in tech:;"post;ai;resource;source;overview";http://www.fast.ai;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;resource#source;overview;;;;ai;;;;"post;resource;source;overview;ai";4
L00647;https://www.alexejgossmann.com/patents_part_1/;Mining USPTO full text patent data - An exploratory analysis of machine learning and AI related patents granted in 2017 so far;Alexej Gossmann;2017-09-21;In this blog post I address questions such as: How many ML and AI related patents were granted? Who are the most prolific inventors? The most frequent patent assignees? Where are inventions made? And when? Is the number of ML and AI related patents increasing over time? How long does it take to obtain a patent for a ML or AI related invention? Is the patent examination time shorter for big tech companies?;"post;data-analysis;eda;example;rstats";https://www.alexejgossmann.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;;example;;data-analysis;;eda;rstats;;technology;"post;example;data-analysis;technology;eda;rstats";5
L00650;https://datascienceplus.com/multi-dimensional-reduction-and-visualisation-with-t-sne/;Multi-Dimensional Reduction and Visualisation with t-SNE;Mark Borg;2017-09-22;t-SNE is a very powerful technique that can be used for visualising (looking for patterns) in multi-dimensional data. Great things have been said about this technique. In this blog post I did a few experiments with t-SNE in R to learn about this technique and its uses.;"post;statistics;technique;rstats;tutorial;t-sne";https://datascienceplus.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;tutorial;;;;technique;statistics;rstats#t-sne;;technology;"post;tutorial;technique;technology;statistics;rstats;t-sne";5
L00652;https://www.tatvic.com/blog/7-visualizations-learn-r/;7 Visualizations You Should Learn in R;Dikesh Jariwala;2016-12-29;R Programming lets you learn this art by offering a set of inbuilt functions and libraries to build visualizations and present data. Before the technical implementations of the visualization, let’s see first how to select the right chart type.;"post;data-viz;rstats;chart;example";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;;example;;data-viz;;chart;rstats;;technology;"post;example;data-viz;technology;chart;rstats";5
L00653;https://flipboard.com/%40asifsalam/data-analysis-visualization-talideqfz/-/a-WZohCYa_RZ29ZAUgn-M66g%253Aa%253A48425342-%252F0;Magick 1.0: 🎩 ✨🐇 Advanced Graphics and Image Processing in R;Jeroen Ooms;2017-08-15;"Last week, version 1.0 of the magick package appeared on CRAN: an ambitious effort to modernize and simplify high quality image processing in R. This … Read more on ropensci.org .css-3hlsjq{color:var( color text-primary);}asifsalam flipped thi...";"post;package;overview;rstats";https://flipboard.com;website;jpg;https://i.pinimg.com/originals/d1/89/30/d18930859df1d3183073aee130451087.jpg;NA;NA;No;post#package;;overview;;;;;rstats;;technology;"post;package;overview;technology;rstats";3
L00655;https://roadtolarissa.com/hurricane/;Hurricane How-To;Adam Pearce;Undated;When projections showed Hurricane Harvey could bring a record setting amount of rain to Houston, the graphics desk at the New York Times started exploring ways of showing the rainfall. After a couple of days of scrambling, we managed to make a map showing both the accumulation and rate of rainfall:;"post;data-viz;example;how-to;tutorial;rstats;inspiration";https://roadtolarissa.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;how-to#tutorial;example;;data-viz#inspiration;;;rstats;;technology;"post;how-to;tutorial;example;data-viz;inspiration;technology;rstats";5
L00664;https://www.r-bloggers.com/upcoming-data-preparation-and-modeling-article-series/;Upcoming data preparation and modeling article series;John Mount;2017-09-23;vtreat is an excellent way to prepare data for machine learning, statistical inference, and predictive analytic projects. If you are an R user we strongly suggest you incorporate vtreat into your projects.;"post;package;overview;ml;data-preparation;data-science";https://www.r-bloggers.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package;;overview;;data-science;;ml#data-preparation;;;;"post;package;overview;data-science;ml;data-preparation";4
L00666;http://datadriven.tv/jen-underwood-data-visualization-automating-data-science/;Jen Underwood on Data Visualization and Automating Data Science;Data driven team;2017-05-16;In this first episode, Frank and Andy chat with Jen Underwood, who’s website is incredibly awesome. Jen Underwood’s blog About Jen Underwood Impact Analytix Sponsored by Enterprise Data & Analytics Unicorns Among Us ([1:42]) – Note: Data Driven...;"interview;podcast;data-viz;data-science";http://datadriven.tv;website;jpg;https://datadriven.tv/wp-content/uploads/2017/05/dd_cropped.jpg;NA;NA;No;interview#podcast;;;;data-viz#data-science;;;;;;"interview;podcast;data-viz;data-science";2
L00668;https://www.tableau.com/about/blog/2017/6/eye-tracking-study-5-key-learnings-data-designers-everywhere-72395;Eye-tracking study: 5 key learnings for data designers everywhere;Amy Alberts;2017-0629;The Tableau Research and Design team is always eager to learn from our amazing customers. Last year, our team hosted the first Tableau Labs at Tableau Conference 2016 with the intention of conducting real-time research with conference attendees. One activity garnered an incredible amount of attention: the Dashboards Eye-Tracking Station.;"post;data-viz;technique;research;perception";https://www.tableau.com;website;jpg;https://cdns.tblsft.com/sites/default/files/blog/tc16_et.jpg;NA;NA;No;post;research;;;data-viz;technique;;;perception;;"post;research;data-viz;technique;perception";5
L00669;https://datascienceplus.com/one-way-anova-in-r/;One-way ANOVA in R;Bidyut Ghosh;2017-08-28;Suppose as a business manager you have the responsibility for testing and comparing the lifetimes of four brands (Apollo, Bridgestone, CEAT and Falken) of automobile tyres. In order to test and compare the lifetimes of four brands of tyre, you should apply one-way ANOVA method as there is only one factor or criterion (mileage run) to classify the sample observations.;"post;statistics;inference;technique;rstats";https://datascienceplus.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;;;;;technique;statistics#inference;rstats;;technology;"post;technique;technology;statistics;inference;rstats";4
L00670;https://www.displayr.com/goodness-of-fit-in-mds-and-t-sne-with-shepard-diagrams/;Goodness of Fit in MDS and t-SNE with Shepard Diagrams;Jake Hoare;Udated;The goodness of fit for data reduction techniques such as MDS and t-SNE can be easily assessed with Shepard diagrams. A Shepard diagram compares how far apart your data points are before and after you transform them (ie: goodness-of-fit) as a scatter plot. Shepard diagrams can be used for data reduction techniques like principal components analysis (PCA), multidimensional scaling (MDS), or t-SNE.;"post;statistics;technique;tutorial;rstats";https://www.displayr.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;tutorial;;;;technique;statistics;rstats;;technology;"post;tutorial;technique;technology;statistics;rstats";5
L00673;http://www.business-science.io/timeseries-analysis/2017/07/30/tidy-timeseries-analysis-pt-3.html;Tidy Time Series Analysis, Part 3: The Rolling Correlation;Matt Dancho;2017-07-30;In the third part in a series on Tidy Time Series Analysis, we’ll use the runCor function from TTR to investigate rolling (dynamic) correlations. We’ll again use tidyquant to investigate CRAN downloads.;"post;course;data-science;rstats;timeseries";http://www.business-science.io;website;rep;http://www.business-science.io/timeseries-analysis/2017/07/30/tidy-timeseries-analysis-pt-3.html/img/courses/5_course_r_track.jpg;NA;NA;No;post#course;;;;data-science;;timeseries;rstats;;technology;"post;course;data-science;technology;timeseries;rstats";4
L00674;https://storycurve.namwkim.org/;Visualizing Nonlinear Narratives with Story Curves;Nam Wook Kim et al.;2017;Story curves visualize the nonlinear narrative of a movie by showing the order in which events are told in the movie and comparing them to their actual chronological order, resulting in possibly meandering visual patterns in the curve. We also developed Story Explorer, an interactive tool that visualizes a story curve together with complementary information such as characters and settings.;"paper;research;storytelling;data-viz";https://storycurve.namwkim.org;website;jpg;https://storycurve.namwkim.org/img/storyexplorer.jpg;NA;NA;No;paper;research;;;data-viz;;;;storytelling;;"paper;research;data-viz;storytelling";4
L00676;https://leanpub.com/ggplot-guide;The Hitchhiker's Guide to Ggplot2;Mauricio Vargas S. 帕夏;2017-10-09;Less than two weeks ago R 3.4.2 was released, so we updated our R version and packages to rebuild the book and update most of the examples. The present version of the book constitutes a major update that simplifies many examples and introduces a novel approach to work with TTF/OTF fonts in different systems.;"book;rstats;data-viz;ggplot2;guide";https://leanpub.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;book;guide;;;data-viz;;;rstats#ggplot2;;technology;"book;guide;data-viz;technology;rstats;ggplot2";4
L00678;https://www.amazon.com/dp/B075C8QMT1/ref%3Dsr_1_2%3Fie%3DUTF8%26keywords%3Dworking%2Bwith%2Br%26qid%3D1504454693%26sr%3D8-2%26tag%3Dlockedata-20;Working with R (R Fundamentals Book 1);Stephanie Locke;2017-10-01;This series of books takes you through everything you need to know and starts off with the very basics. This first book is a gentle introduction to the software you can use to be effective right from the beginning. You'll learn how to use your coding environment, how to load and interact with data and use functionality from a variety of sources;"book;rstats;basics";https://www.amazon.com;website;jpg;https://m.media-amazon.com/images/I/41UEZN0XtpL._SY300_.jpg;NA;NA;No;book;;basics;;;;;rstats;;technology;"book;basics;technology;rstats";3
L00681;http://www.datamake.io/project/film-money;Film Money;Lars Verspohl;2017;Film money is a visual story about film successes and failures. It looks at a number of Top 20 lists from the Top 20 Biggest Budgets to the Top 20 Biggest Money Losers and guides the reader through the film’s history of spending and earning money as well as gaining and not gaining approval.;"post;data-viz;example;inspiration;technique;method;d3js;storytelling;data-story";http://www.datamake.io;website;rep;http://www.datamake.io/project/film-money/static/4a97eabf6e5628b88f41263844a9819f/6aca1/film_money_archie_tse_quote.jpg;NA;NA;No;post;;example;;data-viz#inspiration;technique#method;data-story;d3js;storytelling;technology;"post;example;data-viz;inspiration;technique;method;technology;data-story;d3js;storytelling";7
L00684;https://blogs.sitepointstatic.com/examples/tech/svg-curves/cubic-curve.html;SVG Cubic Bézier Curve Example. This demonstration shows how cubic bézier curves can be drawn on an SVG.; Craig Buckler;Undated;;"technique;svg;bezier;data-viz";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/1538816018293968896/W-FSuABi_normal.jpg;http://VisualCinnamon.com;No;;visual#demo;;;data-viz;technique;;svg#bezier;;technology;"visual;demo;data-viz;technique;technology;svg;bezier";4
L00685;https://policyviz.com/2017/07/25/my-top-10-data-visualization-excel-websites/;My Top 10 Data Visualization Excel Websites;Jonathan Schwabish;2017-07-25;While I end up combining different techniques to create a new graph or new analytic approach, I didn’t come up with many of the basics on my own. I learned a lot from different people in the Excel world, people who can do some incredible work with data using Excel. I decided to pull together a list of 10 favorite Excel websites. ;"post;data-viz;technique;list";https://policyviz.com;website;jpg;https://policyviz.com/wp-content/uploads/2021/10/unisex-staple-t-shirt-athletic-heather-front-617081bda9101-300x300.jpg;NA;NA;No;post;list;;;data-viz;technique;;;;;"post;list;data-viz;technique";4
L00686;http://www.informationisbeautiful.net/2017/longlist-revealed-the-kantar-information-is-beautiful-awards-2017/;The best dataviz & infographics of the year: the Information is Beautiful Awards Longlist 2017;Information is Beautiful;2017;With more entries from more countries than ever before, it’s been a vintage year for our celebration of the world’s finest dataviz & infographics.;"list;data-viz;award;inspiration;data-art";http://www.informationisbeautiful.net;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;;list;;;data-viz#inspiration;data-art;;;award;;"list;data-viz;inspiration;data-art;award";4
L00687;https://deanattali.com/blog/colourpicker-update-alpha/;colourpicker package v1.0: You can now select semi-transparent colours in R (& more!);Dean Attali;2017-10-16;For those who aren’t familiar with the colourpicker package, it provides a colour picker for R that can be used in Shiny, as well as other related tools.;"post;package;colour;rstats";https://deanattali.com/blog/;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package;;;;;;colour;rstats;;technology;"post;package;technology;colour;rstats";3
L00688;https://medium.freecodecamp.org/d3-and-canvas-in-3-steps-8505c8b27444;D3 and Canvas in 3 steps; lars verspohl;2017-02-18; by lars verspohl Let’s say you’re building a data visualization using D3 and SVG. You may hit a ceiling when you try to display several thousand elements at the same time. Your browser may start to puff under the weight of all those DOM element...;"post;tutorial;d3js;canvas;data-viz";https://medium.freecodecamp.org;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;post;tutorial;;;data-viz;;;d3js#canvas;;technology;"post;tutorial;data-viz;technology;d3js;canvas";4
L00689;http://naniar.njtierney.com/;naniar;Nicholas Tierney;2023-02-02;naniar provides principled, tidy ways to summarise, visualise, and manipulate missing data with minimal deviations from the workflows in ggplot2 and tidy data. It does this by providing: For more details on the workflow and theory underpinning na...;"package;data-viz;rstats;ggplot2;data-preparation";http://naniar.njtierney.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;package;;;;data-viz;;data-preparation;rstats#ggplot2;;technology;"package;data-viz;technology;data-preparation;rstats;ggplot2";4
L00691;https://www.displayr.com/linear-discriminant-analysis-in-r-an-introduction/;Linear Discriminant Analysis in R: An Introduction;Jake Hoare;Undated;How does Linear Discriminant Analysis (LDA) work and how do you use it in R? This post answers these questions and provides an introduction to Linear Discriminant Analysis.;"article;technique;ml;classification;introduction;tutorial;rstats";https://www.displayr.com;website;rep;/img/images/geometric-pattern-06.jpg;NA;NA;No;article;tutorial;introduction;;;technique;ml#classification;rstats;;technology;"article;tutorial;introduction;technique;technology;ml;classification;rstats";6
L00693;https://cran.r-project.org/web/packages/magick/vignettes/intro.html;The magick package: Advanced Image-Processing in R;Jeroen Ooms;2023-03-09;The magick package provide a modern and simple toolkit for image processing in R. It wraps the ImageMagick STL which is the most comprehensive open-source image processing library available today. The ImageMagick library has an overwhelming amoun...;"package;rstats;image-processing";https://cran.r-project.org;website;rep;;NA;NA;No;package;;;;;;image-processing;rstats;;technology;"package;technology;image-processing;rstats";3
L00694;https://petolau.github.io/Ensemble-of-trees-for-forecasting-time-series/;Ensemble learning for time series forecasting in R;Peter Lau;2017-10-18;...in this post, I will describe you two simple ensemble learning methods - Bagging and Random Forest. Bagging will be used with combination of two simple regression trees methods used in the previous post (RPART and CTREE).;"post;technique;ml;rstats;how-to";https://petolau.github.io;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post;how-to;;;;technique;ml;rstats;;technology;"post;how-to;technique;technology;ml;rstats";5
L00696;https://blog.revolutionanalytics.com/2017/10/office-charts.html;Create editable Microsoft Office charts from R;David Smith;2017-10-24;"...you have a couple of options for using R to create Office documents with graphics, and make those graphics editable. Both options work in conjunction with the ""officer"" package, which lets you create Word and PowerPoint documents from R. ";"post;technique;package;presentation;word;powerpoint;how-to";https://blog.revolutionanalytics.com;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package#presentation;how-to;;;;technique;;word#powerpoint;;technology;"post;package;presentation;how-to;technique;technology;word;powerpoint";4
L00697;https://ropensci.org/blog/2017/08/24/feddata-release/;FedData – Getting assorted geospatial data into R;rOpenSci;2017-08-23;FedData includes functions to automate downloading geospatial data available from several federated data sources (mainly sources maintained by the US Federal government).;"post;package;geospatial;dataset;data-analysis;how-to";https://ropensci.org/blog/;website;png;/img/logos/rblogger-logo.png;NA;NA;No;post#package;dataset#how-to;;;data-analysis;;geospatial;;;;"post;package;dataset;how-to;data-analysis;geospatial";4
